state,age,n_mig,pop,rate
arizona,66,50,2284,0.021891418563922942
arizona,67,51,2164,0.02356746765249538
arizona,68,54,2282,0.023663453111305872
arizona,69,44,2052,0.021442495126705652
arizona,70,33,2054,0.016066212268743916
arizona,71,29,1894,0.015311510031678986
arizona,72,27,2060,0.013106796116504855
arizona,73,28,2034,0.01376597836774828
arizona,74,27,2022,0.013353115727002967
arizona,75,34,1962,0.017329255861365953
arizona,76,33,1412,0.023371104815864022
arizona,77,20,1448,0.013812154696132596
arizona,78,28,1430,0.019580419580419582
arizona,79,25,1276,0.019592476489028215
arizona,80,9,1134,0.007936507936507936
arkansas,1,7,272,0.025735294117647058
arkansas,2,8,320,0.025
arkansas,3,15,620,0.024193548387096774
arkansas,4,18,628,0.028662420382165606
arkansas,5,7,326,0.02147239263803681
arkansas,6,15,706,0.021246458923512748
arkansas,7,6,351,0.017094017094017096
arkansas,8,10,716,0.013966480446927373
arkansas,9,8,672,0.011904761904761904
arkansas,10,9,648,0.013888888888888888
arkansas,11,9,650,0.013846153846153847
arkansas,12,2,314,0.006369426751592357
arkansas,13,3,376,0.007978723404255319
arkansas,14,13,830,0.01566265060240964
arkansas,15,7,417,0.016786570743405275
arkansas,16,7,395,0.017721518987341773
arkansas,17,10,774,0.012919896640826873
arkansas,18,57,473,0.12050739957716702
arkansas,19,39,840,0.04642857142857143
arkansas,20,22,758,0.029023746701846966
arkansas,21,19,790,0.024050632911392405
arkansas,22,19,377,0.050397877984084884
arkansas,23,17,324,0.05246913580246913
arkansas,24,15,666,0.02252252252252252
arkansas,25,12,342,0.03508771929824561
arkansas,26,21,588,0.03571428571428571
arkansas,27,15,324,0.046296296296296294
arkansas,28,17,746,0.022788203753351208
arkansas,29,10,620,0.016129032258064516
arkansas,30,16,338,0.047337278106508875
arkansas,31,8,728,0.01098901098901099
arkansas,32,5,338,0.014792899408284023
arkansas,33,14,349,0.04011461318051576
arkansas,34,9,359,0.025069637883008356
arkansas,35,16,358,0.0446927374301676
arkansas,36,9,700,0.012857142857142857
arkansas,37,8,734,0.010899182561307902
arkansas,38,8,678,0.011799410029498525
arkansas,39,12,682,0.017595307917888565
arkansas,40,8,762,0.010498687664041995
arkansas,41,3,360,0.008333333333333333
arkansas,42,10,374,0.026737967914438502
arkansas,43,20,351,0.05698005698005698
arkansas,44,8,354,0.022598870056497175
arkansas,45,5,370,0.013513513513513514
arkansas,46,6,338,0.01775147928994083
arkansas,47,7,726,0.009641873278236915
arkansas,48,9,356,0.025280898876404494
arkansas,49,7,718,0.009749303621169917
arkansas,50,5,379,0.013192612137203167
arkansas,51,12,407,0.029484029484029485
arkansas,52,15,409,0.03667481662591687
arkansas,53,15,798,0.018796992481203006
arkansas,54,10,407,0.02457002457002457
arkansas,55,7,776,0.00902061855670103
arkansas,56,6,383,0.015665796344647518
arkansas,57,8,458,0.017467248908296942
arkansas,58,13,944,0.013771186440677966
arkansas,59,14,892,0.01569506726457399
arkansas,60,7,465,0.015053763440860216
arkansas,61,8,419,0.01909307875894988
arkansas,62,14,998,0.014028056112224449
arkansas,63,19,922,0.020607375271149676
arkansas,64,8,996,0.008032128514056224
arkansas,65,5,472,0.01059322033898305
arkansas,66,8,814,0.009828009828009828
arkansas,67,10,452,0.022123893805309734
arkansas,68,12,928,0.01293103448275862
